rule_name,source_sectors,source_sub1sectors,source_sub2sectors,source_sub3sectors,source_sub4sectors,source_fuels,source_subfuels,source_esto_flow,source_esto_product,target_sectors,target_sub1sectors,target_sub2sectors,target_sub3sectors,target_sub4sectors,target_fuels,target_subfuels,target_esto_flow,target_esto_product,notes,active
transport_rail_coal_products_to_nonspecified,15_transport_sector,15_03_rail,x,x,x,02_coal_products,x,15.03 Rail,02 Coal products,15_transport_sector,15_06_nonspecified_transport,x,x,x,02_coal_products,x,15.06 Non-specified transport,02 Coal products,Shift exact transport rail coal-products rows into nonspecified transport.,True
transport_road_fuel_oil_to_nonspecified,15_transport_sector,15_02_road,x,x,x,07_petroleum_products,07_08_fuel_oil,15.02 Road,07.08 Fuel oil,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_08_fuel_oil,15.06 Non-specified transport,07.08 Fuel oil,Shift exact transport road fuel-oil rows into nonspecified transport.,True
transport_rail_fuel_oil_to_nonspecified,15_transport_sector,15_03_rail,x,x,x,07_petroleum_products,07_08_fuel_oil,15.03 Rail,07.08 Fuel oil,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_08_fuel_oil,15.06 Non-specified transport,07.08 Fuel oil,Shift exact transport rail fuel-oil rows into nonspecified transport.,True
transport_domestic_air_kerosene_to_nonspecified,15_transport_sector,15_01_domestic_air_transport,x,x,x,07_petroleum_products,07_06_kerosene,15.01 Domestic air transport,07.06 Kerosene,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_06_kerosene,15.06 Non-specified transport,07.06 Kerosene,Shift exact domestic-air kerosene rows into nonspecified transport.,True
transport_road_kerosene_to_nonspecified,15_transport_sector,15_02_road,x,x,x,07_petroleum_products,07_06_kerosene,15.02 Road,07.06 Kerosene,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_06_kerosene,15.06 Non-specified transport,07.06 Kerosene,Shift exact road kerosene rows into nonspecified transport.,True
transport_rail_kerosene_to_nonspecified,15_transport_sector,15_03_rail,x,x,x,07_petroleum_products,07_06_kerosene,15.03 Rail,07.06 Kerosene,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_06_kerosene,15.06 Non-specified transport,07.06 Kerosene,Shift exact rail kerosene rows into nonspecified transport.,True
transport_domestic_navigation_kerosene_to_nonspecified,15_transport_sector,15_04_domestic_navigation,x,x,x,07_petroleum_products,07_06_kerosene,15.04 Domestic navigation,07.06 Kerosene,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_06_kerosene,15.06 Non-specified transport,07.06 Kerosene,Shift exact domestic-navigation kerosene rows into nonspecified transport.,True
transport_rail_lpg_to_nonspecified,15_transport_sector,15_03_rail,x,x,x,07_petroleum_products,07_09_lpg,15.03 Rail,07.09 LPG,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_09_lpg,15.06 Non-specified transport,07.09 LPG,Shift exact rail LPG rows into nonspecified transport.,True
transport_domestic_navigation_lpg_to_nonspecified,15_transport_sector,15_04_domestic_navigation,x,x,x,07_petroleum_products,07_09_lpg,15.04 Domestic navigation,07.09 LPG,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_09_lpg,15.06 Non-specified transport,07.09 LPG,Shift exact domestic-navigation LPG rows into nonspecified transport.,True
transport_pipeline_lpg_to_nonspecified,15_transport_sector,15_05_pipeline_transport,x,x,x,07_petroleum_products,07_09_lpg,15.05 Pipeline transport,07.09 LPG,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_09_lpg,15.06 Non-specified transport,07.09 LPG,Shift exact pipeline LPG rows into nonspecified transport.,True
transport_domestic_air_motor_gasoline_to_nonspecified,15_transport_sector,15_01_domestic_air_transport,x,x,x,07_petroleum_products,07_01_motor_gasoline,15.01 Domestic air transport,07.01 Motor gasoline,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_01_motor_gasoline,15.06 Non-specified transport,07.01 Motor gasoline,Shift exact domestic-air motor-gasoline rows into nonspecified transport.,True
transport_rail_motor_gasoline_to_nonspecified,15_transport_sector,15_03_rail,x,x,x,07_petroleum_products,07_01_motor_gasoline,15.03 Rail,07.01 Motor gasoline,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_01_motor_gasoline,15.06 Non-specified transport,07.01 Motor gasoline,Shift exact rail motor-gasoline rows into nonspecified transport.,True
transport_pipeline_motor_gasoline_to_nonspecified,15_transport_sector,15_05_pipeline_transport,x,x,x,07_petroleum_products,07_01_motor_gasoline,15.05 Pipeline transport,07.01 Motor gasoline,15_transport_sector,15_06_nonspecified_transport,x,x,x,07_petroleum_products,07_01_motor_gasoline,15.06 Non-specified transport,07.01 Motor gasoline,Shift exact pipeline motor-gasoline rows into nonspecified transport.,True
cps_split_to_unallocated,,,,,,,,16.01 Commercial and public services,,,,,,,,,16.01.02 Commercial and public services unallocated,,CPS split: move all ESTO 16.01 flows to 16.01.02 unallocated; datacentres gets zero synthetic base.,True
